eq_id;methode;variable_predite;unite_sortie;essence_id;essence_nom;essence_code;region_validite;variable_entree;unite_entree;type_formule;formule_explicite;coeff_a;coeff_b;coeff_c;coeff_d;coeff_e;coeff_f;domaine_validite;remarques;source_reference;
tarif_1_fsy;Dagnelie;V_C22;m^3;;Htre;FAGUS_SYLVATICA;Wallonie;c130;c130_cm;TARIF_1;VC22=a+b*c130+c*c130^2+d*c130^3;0,17340*10^-1;-0,003008;0,11589*10^-3;0,13782*10^-8;;;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1G_fsy;Dagnelie;V_C22;m^3;;Htre;FAGUS_SYLVATICA;Wallonie;c130,hdom;c130_cm, hdom_m;TARIF_1G;VC22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0,31293*10^-1;-0,00077641;0,17201*10^-4;-2,6417E-08;-0,0021702;0,30199*10^-5;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_2_fsy;Dagnelie;V_C22;m^3;;Htre;FAGUS_SYLVATICA;Wallonie;c130,htot;c130_cm, htot_m;TARIF_2;VC22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0,015572;0,92314*10^-3;-7,1407E-06;-7,7179E-08;-0,0013528;0,40364*10^-5;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_B_fsy;Dagnelie;V_C22B;m^3;;Htre;FAGUS_SYLVATICA;Wallonie;c130 ;c130_cm;TARIF_B;VC22B=a+b*c130+c*c130^2+d*c130^3;0,81516*10^-1;-0,0017371;-2,3467E-06;0,21432*10^-6;;;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
C150toC130_fsy;Dagnelie;C130;cm;;Htre;FAGUS_SYLVATICA;Wallonie;c150;c150_cm;C150toC130;C130=a*c150+b;;;;;;;c150 [35-295]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1_app;Dagnelie;V_C22;m^3;;érable sycomore;ACER_PSEUDOPLATANUS;Wallonie;c130;c130_cm;TARIF_1;VC22=a+b*c130+c*c130^2+d*c130^3;-0,019508;0,15072*10^-3;0,57816*10^-4;0,80950*10^-7;;;c130 [36-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1G_app;Dagnelie;V_C22;m^3;;érable sycomore;ACER_PSEUDOPLATANUS;Wallonie;c130,hdom;c130_cm, hdom_m;TARIF_1G;VC22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0,31554*10^-1;0,14656*10^-2;-1,1105E-06;0,61274*10^-7;-0,0047547;0,26630*10^-5;c130 [36-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_2_app;Dagnelie;V_C22;m^3;;érable sycomore;ACER_PSEUDOPLATANUS;Wallonie;c130,htot;c130_cm, htot_m;TARIF_2;VC22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;0,10343*10^-1;-0,0014341;0,34521*10^-4;-1,3053E-07;0,77115*10^-3;0,30231*10^-5;c130 [36-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_B_app;Dagnelie;V_C22B;m^3;;érable sycomore;ACER_PSEUDOPLATANUS;Wallonie;c130 ;c130_cm;TARIF_B;VC22B=a+b*c130+c*c130^2+d*c130^3;-0,11209;0,49981*10^-2;-0,000074575;0,41686*10^-6;;;c130 [36-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
C150toC130_app;Dagnelie;C130;cm;;érable sycomore;ACER_PSEUDOPLATANUS;Wallonie;c150;c150_cm;C150toC130;C130=a*c150+b;;;;;;;c150 [35-245]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1_fex;Dagnelie;V_C22;m^3;;Frne;FRAXINUS_EXCELSIOR;Wallonie;c130;c130_cm;TARIF_1;VC22=a+b*c130+c*c130^2+d*c130^3;-0,040364;0,17945*10^-3;0,76857*10^-4;0,73601*10^-7;;;c130 [35-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1G_fex;Dagnelie;V_C22;m^3;;Frne;FRAXINUS_EXCELSIOR;Wallonie;c130,hdom;c130_cm, hdom_m;TARIF_1G;VC22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;-0,036774;0,10185*10^-2;0,24168*10^-5;0,87172*10^-7;-0,0011644;0,26033*10^-5;c130 [35-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_2_fex;Dagnelie;V_C22;m^3;;Frne;FRAXINUS_EXCELSIOR;Wallonie;c130,htot;c130_cm, htot_m;TARIF_2;VC22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0,039083;0,19935*10^-2;-0,000016148;-6,4188E-09;-0,00098341;0,38373*10^-5;c130 [35-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_B_fex;Dagnelie;V_C22B;m^3;;Frne;FRAXINUS_EXCELSIOR;Wallonie;c130 ;c130_cm;TARIF_B;VC22B=a+b*c130+c*c130^2+d*c130^3;-0,044839;0,23434*10^-2;-0,000041648;0,32579*10^-6;;;c130 [35-249]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
C150toC130_fex;Dagnelie;C130;cm;;Frne;FRAXINUS_EXCELSIOR;Wallonie;c150;c150_cm;C150toC130;C130=a*c150+b;;;;;;;c150 [35-245]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1_ulm;Dagnelie;V_C22;m^3;;Orme;ULMUS_SP;Wallonie;c130;c130_cm;TARIF_1;VC22=a+b*c130+c*c130^2+d*c130^3;-0,0060582;-0,00126;0,86604*10^-4;0,15419*10^-7;;;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1G_ulm;Dagnelie;V_C22;m^3;;Orme;ULMUS_SP;Wallonie;c130,hdom;c130_cm, hdom_m;TARIF_1G;VC22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;-0,12683;0,11719*10^-2;0,97902*10^-5;0,49812*10^-7;0,21198*10^-2;0,22260*10^-5;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_2_ulm;Dagnelie;V_C22;m^3;;Orme;ULMUS_SP;Wallonie;c130,htot;c130_cm, htot_m;TARIF_2;VC22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0,034716;0,13586*10^-2;-0,000013402;-5,698E-08;0,16516*10^-3;0,38818*10^-5;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_B_ulm;Dagnelie;V_C22B;m^3;;Orme;ULMUS_SP;Wallonie;c130 ;c130_cm;TARIF_B;VC22B=a+b*c130+c*c130^2+d*c130^3;0,12953;-0,0049679;0,50852*10^-4;-4,2375E-08;;;c130 [35-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
C150toC130_ulm;Dagnelie;C130;cm;;Orme;ULMUS_SP;Wallonie;c150;c150_cm;C150toC130;C130=a*c150+b;;;;;;;c150 [35-295]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
;;;;;;;;;;;;;;;;;;;;;
