eq_id;methode;variable_predite;unite_sortie;essence_id;essence_nom;essence_code;region_validite;variable_entree;unite_entree;type_formule;formule_explicite;coeff_a;coeff_b;coeff_c;coeff_d;coeff_e;coeff_f;domaine_validite;remarques;source_reference;
vallet_c_qro;Vallet;Carbone;kg;;Chêne sessile;QUERCUS_ROBUR;France (Nord/Est et massifs);vta,den,car;vta_m^3,den_kg.m^-11;VALLET_C_FF;C=vta*den*car;;;;;;;;;Vallet P., Dhôte J.-F., Moguédec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in France. Forest Ecology and Management 229(1–3), 98–110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_fsy;Vallet;Carbone;kg;;Hêtre;FAGUS_SYLVATICA;France (Nord/Est et massifs);vta,den,car;vta_m^3,den_kg.m^-12;VALLET_C_FF;C=vta*den*car;;;;;;;;;Vallet P., Dhôte J.-F., Moguédec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in France. Forest Ecology and Management 229(1–3), 98–110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_psy;Vallet;Carbone;kg;;Pin sylvestre;PINUS_SYLVESTRIS;France (Nord/Est et massifs);vta,den,car;vta_m^3,den_kg.m^-13;VALLET_C_FF;C=vta*den*car;;;;;;;;;Vallet P., Dhôte J.-F., Moguédec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in France. Forest Ecology and Management 229(1–3), 98–110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_ppi;Vallet;Carbone;kg;;Pin maritime;PINUS_PINASTER;France (Nord/Est et massifs);vta,den,car;vta_m^3,den_kg.m^-14;VALLET_C_FF;C=vta*den*car;;;;;;;;;Vallet P., Dhôte J.-F., Moguédec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in France. Forest Ecology and Management 229(1–3), 98–110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_aal;Vallet;Carbone;kg;;Sapin blanc;ABIES_ALBA;France (Nord/Est et massifs);vta,den,car;vta_m^3,den_kg.m^-15;VALLET_C_FF;C=vta*den*car;;;;;;;;;Vallet P., Dhôte J.-F., Moguédec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in France. Forest Ecology and Management 229(1–3), 98–110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_pme;Vallet;Carbone;kg;;Douglas;PSEUDOTSUGA_MENZIESII;France (Nord/Est et massifs);vta,den,car;vta_m^3,den_kg.m^-16;VALLET_C_FF;C=vta*den*car;;;;;;;;;Vallet P., Dhôte J.-F., Moguédec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in France. Forest Ecology and Management 229(1–3), 98–110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_vc22_qro;Vallet;V_C22;m^3;;Chêne sessile;QUERCUS_ROBUR;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));;0,5057;;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_qpe;Vallet;V_C22;m^3;;Chêne pédonculé;QUERCUS_PETRAEA;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-4,438;0,5455;-0,0001397;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_qpu;Vallet;V_C22;m^3;;Chêne pubescent;QUERCUS_PUBESCENS;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-3,319;0,5664;-0,0001778;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_fsy;Vallet;V_C22;m^3;;Hêtre;FAGUS_SYLVATICA;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-4,498;0,5107;-0,0001332;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_ppi;Vallet;V_C22;m^3;;Pin maritime;PINUS_PINASTER;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-1,712;0,513;-0,0001124;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_psy;Vallet;V_C22;m^3;;Pin sylvestre;PINUS_SYLVESTRIS;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-2,247;0,4985;-0,0001212;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pla;Vallet;V_C22;m^3;;Pin laricio de Corse;PINUS_LARICIO;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));;0,5215;-0,0001271;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pni;Vallet;V_C22;m^3;;Pin noir;PINUS_NIGRA;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-8,427;0,5857;-0,0002748;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pha;Vallet;V_C22;m^3;;Pin d'Alep;PINUS_HALEPENSIS;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));;0,5258;-0,00023;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pab;Vallet;V_C22;m^3;;Epicéa;PICEA_ABIES;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-8,666;0,5839;-0,0002679;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_aal;Vallet;V_C22;m^3;;Sapin blanc;ABIES_ALBA;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-4,523;0,6011;-0,0002243;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pme;Vallet;V_C22;m^3;;Douglas;PSEUDOTSUGA_MENZIESII;France  ;htot,dbh;htot_m,dbh_cm;VALLET_VC22;VC22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-7,15;0,5431;-0,0002951;;;;dbh ≥7,5 cm;;Aussenac R., Pérot T., Fortin M., de Coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predicting  the productivity of pure and mixed forest stands and  simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
algan_vta_aal;Algan;V_total_aerien;m^3;;Sapin blanc;ABIES_ALBA;France;htot,dbh;htot_m,dbh_cm;ALGAN_VTA;VTA=a*dbh^2*htot;0,4;;;;;;;;Massenet J.-Y., 2006. Chapitre IV_: estimation du volume. Lycée forestier – Château de Mesnières – 76270 MESNIERES-EN-BRAY.;  
algan_vbo_aal;Algan;V_bois_oeuvre;m^3;;Sapin Blanc;ABIES_ALBA;France;htot,dbh;htot_m,dbh_cm;ALGAN_VBO;VBO=a*dbh^2*htot;0,33;;;;;;dbh ≥15 cm;;Massenet J.-Y., 2006. Chapitre IV_: estimation du volume. Lycée forestier – Château de Mesnières – 76270 MESNIERES-EN-BRAY.;  
