species_code;coeff_a;coeff_b;coeff_c;coeff_d
PICEA_ABIES;0,631;-0,000946;;
QUERCUS_ROBUR;0,471;-0,000345;0,377;
FAGUS_SYLVATICA;0,395;0,000266;0,421;45,4
PINUS_SYLVESTRIS;0,297;0,000318;0,384;204
PINUS_PINASTER;0,235;0,00097;0,396;198,8
ABIES_ALBA;0,55;-0,000749;0,277;
PSEUDOTSUGA_MENZIESII;0,534;-0,00053;;56,6
